INFO 2020-09-21 13:09:37,330 basehttp 124 "GET /static/images/goods/goods004.jpg HTTP/1.1" 200 6565
INFO 2020-09-21 13:09:37,346 basehttp 124 "GET /static/images/goods/goods005.jpg HTTP/1.1" 200 7578
INFO 2020-09-21 13:09:37,348 basehttp 124 "GET /static/images/goods/goods008.jpg HTTP/1.1" 200 7072
INFO 2020-09-21 13:09:37,349 basehttp 124 "GET /static/images/banner02.jpg HTTP/1.1" 200 26729
INFO 2020-09-21 13:09:37,357 basehttp 124 "GET /static/images/banner03.jpg HTTP/1.1" 200 22681
WARNING 2020-09-21 13:09:37,761 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2020-09-21 13:09:37,765 basehttp 124 "GET /static/images/goods/goods009.jpg HTTP/1.1" 200 8738
INFO 2020-09-21 13:09:37,778 basehttp 124 "GET /static/images/icons.png HTTP/1.1" 200 7740
INFO 2020-09-21 13:22:32,481 basehttp 124 "GET /register/ HTTP/1.1" 200 3910
INFO 2020-09-21 13:22:33,427 basehttp 124 "GET /image_codes/3cde541f-6358-43f9-82e6-2bd88a663509/ HTTP/1.1" 200 3034
INFO 2020-09-21 13:22:34,793 basehttp 124 "GET /usernames/itcast/count/ HTTP/1.1" 200 41
INFO 2020-09-21 13:23:15,134 basehttp 124 "GET /usernames/itcast/count/ HTTP/1.1" 200 41
INFO 2020-09-21 13:23:15,386 basehttp 124 "GET /usernames/itcast/count/ HTTP/1.1" 200 41
INFO 2020-09-21 13:23:15,682 basehttp 124 "GET /usernames/itcast/count/ HTTP/1.1" 200 41
INFO 2020-09-21 13:23:15,960 basehttp 124 "GET /usernames/itcast/count/ HTTP/1.1" 200 41
INFO 2020-09-21 13:23:16,272 basehttp 124 "GET /usernames/itcast/count/ HTTP/1.1" 200 41
INFO 2020-09-21 13:23:48,045 basehttp 124 "GET /register/ HTTP/1.1" 200 3910
INFO 2020-09-21 13:23:48,161 basehttp 124 "GET /image_codes/ffbd023e-0528-43a9-9a6e-9edd67a26dea/ HTTP/1.1" 200 3384
INFO 2020-09-21 13:23:49,595 basehttp 124 "GET /usernames/itcast/count/ HTTP/1.1" 200 41
WARNING 2020-09-21 13:24:55,366 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2020-09-21 13:24:57,364 basehttp 124 "GET /register/ HTTP/1.1" 200 3910
INFO 2020-09-21 13:24:57,401 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-09-21 13:24:57,416 basehttp 124 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-09-21 13:24:57,450 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12945
INFO 2020-09-21 13:24:57,456 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289316
INFO 2020-09-21 13:24:57,470 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 200 7450
INFO 2020-09-21 13:24:57,474 basehttp 124 "GET /static/js/common.js HTTP/1.1" 200 906
INFO 2020-09-21 13:24:57,550 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 4825
INFO 2020-09-21 13:24:57,582 basehttp 124 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2020-09-21 13:24:57,618 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2020-09-21 13:24:57,619 basehttp 124 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
WARNING 2020-09-21 13:24:57,652 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2020-09-21 13:24:57,837 basehttp 124 "GET /image_codes/47d0a904-59d7-4c58-9cd4-a1b9d113391b/ HTTP/1.1" 200 3165
INFO 2020-09-21 13:24:59,104 basehttp 124 "GET /usernames/itcast/count/ HTTP/1.1" 200 41
INFO 2020-09-21 13:25:05,117 basehttp 124 "GET /usernames/xiangyu/count/ HTTP/1.1" 200 41
WARNING 2020-09-21 13:25:19,562 base 152 Not Found: /mobiles/17851657894/count/
WARNING 2020-09-21 13:25:19,572 basehttp 124 "GET /mobiles/17851657894/count/ HTTP/1.1" 404 2743
INFO 2020-09-21 13:25:56,983 basehttp 124 "GET /usernames/xiangyu/count/ HTTP/1.1" 200 41
WARNING 2020-09-21 13:25:56,985 base 152 Not Found: /mobiles/17851657894/count/
WARNING 2020-09-21 13:25:56,988 basehttp 124 "GET /mobiles/17851657894/count/ HTTP/1.1" 404 2743
INFO 2020-09-21 13:28:36,936 basehttp 124 "GET /register/ HTTP/1.1" 200 3910
INFO 2020-09-21 13:28:36,992 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2020-09-21 13:28:37,014 basehttp 124 "GET /static/css/main.css HTTP/1.1" 200 40091
INFO 2020-09-21 13:28:37,028 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289316
INFO 2020-09-21 13:28:37,029 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12945
INFO 2020-09-21 13:28:37,046 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 200 7450
INFO 2020-09-21 13:28:37,057 basehttp 124 "GET /static/js/common.js HTTP/1.1" 200 906
INFO 2020-09-21 13:28:37,108 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 4825
INFO 2020-09-21 13:28:37,131 basehttp 124 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2020-09-21 13:28:37,165 basehttp 124 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
INFO 2020-09-21 13:28:37,181 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 200 3935
WARNING 2020-09-21 13:28:37,413 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2020-09-21 13:28:37,512 basehttp 124 "GET /image_codes/f5ca8202-e8d6-4e80-8ca3-baafd5a039b1/ HTTP/1.1" 200 3265
INFO 2020-09-21 13:28:40,645 basehttp 124 "GET /usernames/itcast/count/ HTTP/1.1" 200 41
INFO 2020-09-21 13:28:41,859 basehttp 124 "GET /usernames/python/count/ HTTP/1.1" 200 41
INFO 2020-09-21 13:28:55,373 basehttp 124 "GET /usernames/python/count/ HTTP/1.1" 200 41
INFO 2020-09-21 13:28:57,330 basehttp 124 "GET /usernames/python/count/ HTTP/1.1" 200 41
INFO 2020-09-21 13:29:13,149 basehttp 124 "GET /register/ HTTP/1.1" 200 3910
INFO 2020-09-21 13:29:13,489 basehttp 124 "GET /image_codes/9a00f408-178d-472d-b980-339200df19fd/ HTTP/1.1" 200 3038
INFO 2020-09-21 13:29:14,940 basehttp 124 "GET /usernames/itcast/count/ HTTP/1.1" 200 41
WARNING 2020-09-21 13:29:23,900 base 152 Not Found: /mobiles/13598226245/count/
WARNING 2020-09-21 13:29:23,905 basehttp 124 "GET /mobiles/13598226245/count/ HTTP/1.1" 404 2743
WARNING 2020-09-21 13:29:28,820 base 152 Not Found: /mobiles/13598226245/count/
INFO 2020-09-21 13:29:28,836 basehttp 124 "GET /usernames/itcast/count/ HTTP/1.1" 200 41
WARNING 2020-09-21 13:29:28,840 basehttp 124 "GET /mobiles/13598226245/count/ HTTP/1.1" 404 2743
WARNING 2020-09-21 13:29:32,570 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2020-09-22 03:31:54,953 basehttp 124 "GET /register/ HTTP/1.1" 200 3910
INFO 2020-09-22 03:31:55,687 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2020-09-22 03:31:56,974 basehttp 124 "GET /image_codes/021323ef-28db-40d1-8ca9-973f65bd7baa/ HTTP/1.1" 200 3530
WARNING 2020-09-22 03:31:57,095 base 152 Not Found: /favicon.ico
WARNING 2020-09-22 03:31:57,108 basehttp 124 "GET /favicon.ico HTTP/1.1" 404 2698
INFO 2020-09-22 03:32:05,781 basehttp 124 "GET /usernames/itcast/count/ HTTP/1.1" 200 41
